Stock_Length,Stock_Width,Panels,Items,Columns
1200,1860,23,[46],"(2,)"
1200,1860,15,[44],"(2,)"
1200,1860,65,[43],"(2,)"
1200,1860,147,"[42, 45]","(1, 1)"
1200,1860,340,"[35, 50]","(1, 1)"
1200,1860,130,"[32, 49]","(1, 1)"
1200,1860,30,[29],"(3,)"
1200,1860,680,"[28, 51]","(1, 1)"
1200,1860,135,"[26, 55]","(1, 1)"
1200,1860,220,"[25, 58]","(1, 1)"
1200,1860,110,"[22, 54]","(1, 1)"
1200,1860,270,"[21, 59]","(1, 1)"
1200,1860,220,"[20, 56]","(1, 1)"
1200,1860,270,"[17, 57]","(1, 1)"
1200,1860,680,"[11, 60]","(1, 1)"
1200,2300,55,[41],"(2,)"
1200,2300,110,"[38, 47]","(1, 1)"
1200,2300,65,"[33, 48]","(1, 1)"
1200,2300,184,"[30, 53]","(1, 1)"
1200,2300,150,"[27, 31]","(2, 1)"
1200,2300,150,"[24, 36]","(2, 1)"
1200,2300,150,"[23, 37]","(2, 1)"
1200,2300,5,[18],"(4,)"
1200,2300,4,[16],"(4,)"
1200,2300,10,"[15, 19]","(1, 3)"
1200,2300,4,[14],"(4,)"
1200,2300,300,"[12, 52]","(2, 1)"
1200,2300,184,"[10, 64]","(1, 1)"
1200,2300,184,"[9, 65]","(1, 1)"
1200,2300,140,"[8, 39]","(1, 2)"
1200,2300,55,"[7, 34]","(2, 2)"
1200,2300,30,"[6, 63]","(2, 1)"
1200,2300,20,"[5, 62]","(2, 1)"
1200,2300,14,"[4, 61]","(2, 1)"
1200,2300,2,[3],"(12,)"
1200,2300,140,"[2, 40]","(3, 2)"
1200,2300,150,"[1, 13]","(1, 4)"
