Stock_Length,Stock_Width,Panels,Items,Columns
1200,2400,295,[22],"(2,)"
1200,2400,197,[21],"(2,)"
1200,2400,2080,"[15, 31]","(1, 1)"
1200,2400,590,"[11, 14, 30]","(1, 1, 1)"
1200,2400,1040,"[10, 17, 25]","(1, 1, 1)"
1200,2400,6,[9],"(8,)"
1200,2400,1180,"[8, 16, 24]","(1, 2, 1)"
1200,2400,410,"[7, 13, 29]","(1, 1, 1)"
1200,2400,2080,"[6, 18, 26]","(1, 1, 1)"
1200,2400,590,"[5, 12, 23]","(4, 1, 1)"
1200,2400,410,"[3, 19, 28]","(1, 1, 1)"
1200,2400,1180,"[2, 4, 32]","(1, 1, 1)"
1200,2400,274,"[1, 20, 27]","(1, 1, 1)"
