Stock_Length,Stock_Width,Panels,Items,Columns
1200,2340.0,295,[22],"(2,)"
1200,2340.0,410,"[19, 29]","(1, 1)"
1200,2340.0,2080,"[18, 26]","(1, 1)"
1200,2340.0,2080,"[16, 31]","(1, 1)"
1200,2340.0,50,[14],"(6,)"
1200,2340.0,22,[13],"(6,)"
1200,2340.0,45,[12],"(8,)"
1200,2340.0,12,[10],"(8,)"
1200,2340.0,6,[9],"(8,)"
1200,2340.0,45,[7],"(8,)"
1200,2340.0,520,"[6, 15]","(4, 4)"
1200,2340.0,694,"[5, 30]","(3, 1)"
1600,1880.0,205,[28],"(2,)"
1600,1880.0,205,[27],"(2,)"
1600,1880.0,295,"[20, 23]","(1, 2)"
1600,1880.0,1180,"[17, 32]","(2, 1)"
1600,1880.0,590,"[8, 24]","(2, 2)"
1600,1880.0,295,"[4, 21]","(4, 2)"
1600,1880.0,12,[3],"(16,)"
1600,1880.0,520,"[2, 25]","(1, 2)"
1600,1880.0,31,"[1, 11]","(2, 9)"
