Stock_Length,Stock_Width,Panels,Items,Columns
1200,2620,265,"[66, 67]","(1, 1)"
1200,2620,75,"[56, 69]","(1, 1)"
1200,2620,12,[50],"(3,)"
1200,2620,7,[47],"(3,)"
1200,2620,20,"[43, 73]","(1, 1)"
1200,2620,55,[41],"(4,)"
1200,2620,44,[40],"(4,)"
1200,2620,30,"[37, 59]","(1, 2)"
1200,2620,70,[35],"(5,)"
1200,2620,59,[33],"(6,)"
1200,2620,60,"[29, 46]","(5, 1)"
1200,2620,27,[26],"(10,)"
1200,2620,52,"[25, 53]","(3, 2)"
1200,2620,49,"[23, 64]","(1, 2)"
1200,2620,10,"[20, 58]","(3, 2)"
1200,2620,27,"[18, 63]","(2, 2)"
1200,2620,10,"[17, 72]","(3, 1)"
1200,2620,40,"[16, 79]","(1, 1)"
1200,2620,10,"[14, 55]","(5, 2)"
1200,2620,5,"[10, 44]","(3, 3)"
1200,2620,2,"[8, 13]","(8, 10)"
1200,2620,10,"[4, 57]","(7, 2)"
1200,2200,150,"[62, 70]","(1, 1)"
1200,2200,155,"[54, 71]","(1, 1)"
1200,2200,6,[49],"(3,)"
1200,2200,15,[48],"(3,)"
1200,2200,20,"[45, 61]","(1, 2)"
1200,2200,12,[42],"(4,)"
1200,2200,20,"[39, 60]","(1, 2)"
1200,2200,15,[38],"(4,)"
1200,2200,1,[36],"(4,)"
1200,2200,35,"[34, 68]","(2, 1)"
1200,2200,98,"[32, 65]","(1, 2)"
1200,2200,40,"[31, 76]","(1, 1)"
1200,2200,63,[30],"(7,)"
1200,2200,438,"[28, 74]","(2, 1)"
1200,2200,40,"[27, 75]","(2, 1)"
1200,2200,45,[21],"(12,)"
1200,2200,9,"[15, 51]","(5, 2)"
1200,2200,2,"[12, 24]","(10, 4)"
1200,2200,2,"[11, 22]","(10, 4)"
1200,2200,1,"[7, 9]","(10, 8)"
1200,2200,120,"[6, 80]","(1, 1)"
1200,2200,20,"[5, 78]","(3, 1)"
1200,2200,2,"[3, 19]","(16, 4)"
1200,2200,20,"[2, 77]","(3, 1)"
1200,2200,7,"[1, 52]","(7, 2)"
