Stock_Length,Stock_Width,Panels,Items,Columns
1600,2480.0,3,[19],"(5,)"
1600,2480.0,3,[18],"(5,)"
1600,2480.0,15,"[17, 20]","(1, 4)"
1600,2480.0,14,[11],"(9,)"
1600,2480.0,5,[6],"(14,)"
1600,2480.0,8,[5],"(14,)"
1600,2480.0,28,"[4, 13]","(4, 1)"
1600,2480.0,2,[3],"(8,)"
1600,2480.0,8,"[1, 2]","(3, 3)"
1600,2280.0,15,"[21, 22]","(4, 4)"
1600,2280.0,10,"[16, 23]","(1, 2)"
1600,2280.0,20,"[14, 25]","(3, 1)"
1600,2280.0,10,"[12, 24]","(4, 2)"
1600,2280.0,12,"[10, 15]","(7, 5)"
1600,2280.0,125,[8],"(5,)"
1600,2280.0,209,"[7, 9]","(3, 1)"
